Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?
0.034657806,-0.03166706,0.036221616,-0.1632298,0.0,-5.9377868e-05,0.423525,0.2879208,0.010256421,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.015559251,-0.0022421444,-0.00061346457,0.009023277,-0.03416653,-0.020669285,0.01451329,-0.13023643,0.00088161184,-0.034449104,-0.19450416,-0.005295871,0.014456707,0.023428762,-0.13250315,-0.13331848,-0.06393024,-0.00058867456,-0.0046640127,0.00031163072,0.0006747401,0.04400393,0.0
-0.2931112,-0.021261558,-0.111039326,0.039392073,0.0,0.0036226865,0.43672395,0.41340253,0.0063981,0.0033449722,0.003733635,-0.068551056,-0.00801425,0.12477684,-0.0022421444,-0.00035340956,0.009042563,-0.038116917,-0.0014498107,0.01451329,-0.11599959,-0.005051486,-0.031230692,-0.023789303,-0.005295871,0.012220653,0.023057645,-0.09438172,-0.017328454,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0038144307,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.5967442,0.0,0.0035138782,0.44125658,0.34285218,0.0023913074,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11425175,-0.0022421444,-0.00035340956,0.007280058,-0.0354011,-0.0024633284,0.01451329,-0.11961475,-0.0046809474,-0.03155468,-0.012910004,-0.005295871,0.013497307,0.021890312,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.59663683,0.0,0.0035138782,0.45750675,0.3429187,0.002353919,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11401637,-0.0022421444,-0.00035340956,0.007280058,-0.03485141,-0.0024633284,0.01451329,-0.11961475,-0.005107306,-0.03155468,-0.021291403,-0.005295871,0.013497307,0.021890312,-0.09704792,-0.018430544,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.031003624,-0.025396507,0.036103893,-0.20945528,0.0,0.0023242347,0.3596367,0.28674382,-0.018757341,0.0033449722,0.003733635,-0.0020209723,-0.00801425,-0.026074806,-0.0022421444,-0.00035340956,0.007698871,-0.03416653,0.0032850082,0.01451329,-0.12637739,0.014452451,-0.034449104,-0.01792513,-0.005295871,0.013713328,0.02308428,-0.1315396,-0.008628548,-0.06393024,-0.00058867456,-0.003637894,0.00031163072,0.0006747401,0.04400393,0.0
0.034657806,-0.03150228,0.036221616,-0.16336206,0.0,-0.00020774826,0.4201309,0.2879922,0.008809674,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.015559251,-0.0022421444,-0.0017012903,0.005976359,-0.033799797,-0.034174774,0.011936704,-0.13029641,0.0006800203,-0.034449104,-0.19152895,-0.005295871,0.014456707,0.023257578,-0.13250315,-0.13438329,-0.061343182,-0.00058867456,-0.0047124117,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.011657565,0.034103535,-0.5995291,0.0,0.0035138782,0.44807738,0.28935063,-0.0072382567,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11771613,-0.0022421444,-0.00035340956,0.007280058,-0.034732215,-0.0039288346,0.01451329,-0.11961475,-0.004635024,-0.033827372,-0.036640394,-0.005295871,0.013497307,0.021920398,-0.11991885,-0.017928561,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.5967442,0.0,0.0035138782,0.44125658,0.34285218,0.0023913074,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11425175,-0.0022421444,-0.00035340956,0.007280058,-0.0354011,-0.0024633284,0.01451329,-0.11961475,-0.0046809474,-0.03155468,-0.012910004,-0.005295871,0.013497307,0.021890312,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.031003624,-0.030345304,0.036103893,-0.21368927,0.0,0.0023242347,0.42014927,0.28681523,-0.026144918,0.0033449722,0.003733635,-0.0009584306,-0.00801425,-0.071934275,-0.0022421444,-0.0014412353,0.0053075575,-0.033799797,-0.021467641,0.011936704,-0.12643737,0.0033456977,-0.034449104,-0.045714322,-0.005295871,0.013713328,0.022977648,-0.1315396,-0.036902998,-0.061343182,-0.00058867456,-0.003216042,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.008759855,0.034103535,-0.60174805,0.0,0.0035138782,0.39370224,0.28935063,-0.004720021,0.0033449722,0.003733635,-0.022819554,-0.00801425,0.114849515,-0.0022421444,-0.00035340956,0.0069809724,-0.034732215,-0.0038186267,0.01451329,-0.11961475,0.0010430276,-0.033827372,-0.042312786,-0.005295871,0.013497307,0.021989867,-0.11991885,-0.017911525,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.008856034,0.034144092,-0.21917424,0.0,0.0035138782,0.4723077,0.28928673,-0.02498104,0.0033449722,0.003733635,-0.02776879,-0.00801425,0.07820231,-0.0022421444,-0.00035340956,0.010140224,-0.034935035,0.0012795688,0.01451329,-0.11961475,-0.0051630726,-0.034049116,-0.071573906,-0.005295871,0.013497307,0.021368865,-0.12126215,-0.037056644,-0.06393024,-0.00032692222,-0.003711945,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.008501992,0.04800226,-0.5859801,0.0,0.0035138782,0.3770231,0.3429187,0.008451868,0.0033449722,0.003733635,-0.022801358,-0.00801425,0.044480447,-0.0022421444,-0.00035340956,0.0068159197,-0.03485141,-5.576019e-05,0.01451329,-0.11961475,-0.00055539707,-0.03155468,0.023945678,-0.005295871,0.013497307,0.021959782,-0.09704792,0.040911853,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
0.029884,-0.010394124,0.036144454,-0.59974045,0.0,0.004916362,0.45593694,0.28361103,-0.0072382567,0.0033449722,0.003733635,-0.025984632,-0.00801425,0.11771613,-0.0022421444,-0.00035340956,0.010625064,-0.034133814,-0.0039288346,0.01451329,-0.12025763,0.0023657442,-0.034449104,-0.03552604,-0.005295871,0.0133738555,0.020401299,-0.13090165,-0.017946871,-0.06393024,-0.00032692222,-0.0033114036,0.00031163072,0.0014188256,0.04400393,0.0
