Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?
-0.0024655776,0.26972428,-9.862642e-05,0.045608927,-0.021359209,0.020643746,0.16220456,0.06940709,-0.0744031,0.31164727,0.004926228,0.01737499,-0.3825775,0.055332687,-0.09543831,-0.027794521,0.04300935,0.00078409887,-0.032177854,0.183443,0.01165735,0.99636155,-0.0043782024,0.046391774,0.02547689,-0.023132125,0.11631947,-0.07647557,-0.08056994,0.015008296,0.020230222,-0.00237935,0.0067412104,0.0038665142,-0.031147147,0.0026198109
0.1211338,-0.051972885,0.0018948764,-0.08798118,0.017756766,0.022942929,0.17090744,0.07285558,-0.07256822,0.31454182,0.007172075,0.015827227,-0.3676499,0.052607436,-0.09543831,-0.027312998,0.049175605,-0.0013599496,-0.03174667,0.18732189,0.015426695,0.7766006,0.0017904554,0.04465721,0.032545127,-0.024822045,0.116672434,-0.075055666,-0.08699989,0.015443007,0.027851075,-0.0024205884,0.0064243423,0.00533983,-0.031958137,0.0025639182
0.12581436,-0.051951647,0.0018948764,-0.09134754,0.017756766,0.018068783,0.16404158,0.072606966,-0.07361968,0.3143893,0.0068069426,0.016955934,-0.36545518,0.051156927,-0.09480057,-0.025860844,0.04990815,0.0007635399,-0.031471338,0.18682134,0.0121869,0.95225084,0.0012634459,0.045776926,0.03607813,-0.025438683,0.05472526,-0.07653497,-0.08880559,0.016014684,0.027870376,-0.0016593088,0.006280802,0.00533983,-0.031958137,0.002627059
0.1216282,-0.05196039,0.001808468,-0.109278746,0.012828288,0.02473795,0.1706621,0.090549365,-0.076954484,0.3144477,0.0106390845,0.016003778,-0.36583057,0.0525553,-0.095010765,-0.020609561,0.038815208,0.0004383934,-0.042103816,0.17991072,0.015489362,0.77992725,0.001705843,0.048067026,0.032746654,-0.025776193,0.12086735,-0.07925625,-0.085717864,0.01598699,0.027851075,-0.0024205884,0.0062508564,0.00533983,-0.031958137,0.0026482118
0.012471443,0.26701507,-0.0019604631,0.051160265,-0.031069992,0.03459812,0.1651494,0.07179852,-0.07552685,0.310346,0.009397987,0.018555896,-0.3837992,0.057260126,-0.094943345,-0.028006919,0.045333922,-0.0013473232,-0.032453183,0.1832935,0.015890697,1.1801202,0.0005090047,0.046146184,0.014566044,-0.024754792,0.050706882,-0.07965844,-0.083716065,0.012259315,0.027578581,-0.0016180703,0.006280802,0.0030636778,-0.03488083,0.0026125128
-0.0060126767,0.26209486,-0.0019604631,0.044596914,-0.03132361,-0.0071035763,0.18099166,0.12035478,-0.07369341,0.26866817,-0.028665515,0.018591354,-0.38566688,0.057260126,-0.089353986,-0.06718105,0.047015376,-0.002718333,-0.032665092,0.18650633,0.010799835,1.0105458,-0.0061252476,0.04492014,0.022408318,-0.023956364,0.11187903,-0.044006176,-0.08056605,0.0076803067,0.0061904592,-0.00237935,0.0036567966,0.0030636778,-0.035007898,0.0068590916
0.1211338,-0.052025918,0.0018948764,-0.09924103,0.017763274,0.023038708,0.17157535,0.07186276,-0.07762723,0.31685406,0.007998092,0.017184684,-0.38072056,0.052607436,-0.09579128,-0.020701703,0.038339917,0.0009316992,-0.042052496,0.17959052,0.01674254,0.95887923,0.0019043813,0.045271073,0.027132276,-0.024676897,0.0562257,-0.07248464,-0.087052315,0.01170875,0.027578581,-0.0016593088,0.0064243423,0.00533983,-0.03569182,0.0025697122
0.03995144,-0.052523527,0.001808468,-0.11463285,0.013159407,-0.0012126447,0.17328316,0.089190036,-0.042934306,0.3006438,-0.00088791177,0.019290403,-0.29093698,0.018582514,-0.08158489,-0.04337068,0.052210998,0.0040247357,-0.025154006,0.19087727,0.018131856,0.7741195,-0.0016341188,0.04723485,0.041060664,-0.030120911,0.116292074,-0.03518154,-0.089130215,0.010513415,0.020211015,-0.0024205884,0.0070050783,0.0046037096,-0.033858795,0.0027007263
0.12562655,-0.054122727,0.00050011394,-0.09324349,0.017160138,-0.022033952,0.16194375,0.07014185,-0.076276764,0.3166093,-0.023404727,0.017132485,-0.38982132,0.052438453,-0.095010765,-0.051017173,0.037009098,0.0012811902,-0.04200996,0.1785653,0.0044343253,0.9583215,-0.0045255674,0.04661238,0.030274972,-0.025281534,0.061234802,-0.07874442,-0.08568378,0.016123356,0.007928109,-0.0016593088,0.0065976703,0.0059658354,-0.031958137,0.0071487767
0.12736893,-0.053203136,0.0018948764,-0.10307963,0.017681053,-0.014477501,0.17066161,0.07296005,-0.06665228,0.317249,-0.030452304,0.017132485,-0.3749445,0.049387634,-0.095648505,-0.051598277,0.038505998,0.0009857928,-0.03999608,0.17887126,0.0093671745,0.96114784,0.0006101538,0.04060226,0.029993724,-0.022670483,0.0563434,-0.07680333,-0.084503904,0.015509091,0.012516173,-0.0016593088,0.0064243423,0.00533983,-0.031958137,0.0066774734
0.04147038,-0.052587207,0.001808468,-0.1294398,0.017915132,-0.02645172,0.1796651,0.089690536,-0.04825498,0.31574023,-0.027360989,0.021071121,-0.3356159,0.016865361,-0.09468764,-0.06465521,0.038132925,0.0033807587,-0.042025786,0.17908806,0.018753769,0.9585861,-0.0010787303,0.04366963,0.030971855,-0.028401962,0.057763327,-0.07615367,-0.09230099,0.011015183,0.0101292115,-0.0016593088,0.006323511,0.0046037096,-0.037465416,0.007102858
